   Field  Tile         RA        Dec Size
  LMC_c39  T08  79.408742 -67.114844 0.67
  LMC_c39  T09  80.875026 -68.764728 0.67
  LMC_c39  T10  80.856826 -68.214769 0.67
  LMC_c39  T11  80.839479 -67.664807 0.67
  LMC_c39  T12  80.822925 -67.114844 0.67
  LMC_c39  T13  82.392494 -68.751224 0.67
  LMC_c39  T14  82.337959 -68.201588 0.67
  LMC_c39  T15  82.285979 -67.651935 0.67
  LMC_c39  T16   82.23637 -67.102266 0.67
  LMC_c41  T01  78.482361 -70.553647 0.67
  LMC_c41  T02   78.54762 -70.004088 0.67
  LMC_c41  T03  78.609526 -69.454506 0.67
  LMC_c41  T04  78.668343 -68.904903 0.67
  LMC_c41  T05  80.134271 -70.568528 0.67
  LMC_c41  T06  80.156056 -70.018577 0.67
  LMC_c41  T07   80.17672 -69.468623 0.67
  LMC_c41  T08  80.196352 -68.918668 0.67
  LMC_c41  T09  81.787395 -70.568528 0.67
  LMC_c41  T10  81.765611 -70.018577 0.67
  LMC_c41  T11  81.744946 -69.468623 0.67
  LMC_c41  T12  81.725315 -68.918668 0.67
  LMC_c41  T13  83.439306 -70.553647 0.67
  LMC_c41  T14  83.374047 -70.004088 0.67
  LMC_c41  T15   83.31214 -69.454506 0.67
  LMC_c41  T16  83.253324 -68.904903 0.67
  LMC_c42  T01  79.654287 -67.264686 0.67
  LMC_c42  T02  79.701805    -66.715 0.67
  LMC_c42  T03  79.747251   -66.1653 0.67
  LMC_c42  T04  79.790765 -65.615587 0.67
  LMC_c42  T05  81.077293 -67.277212 0.67
  LMC_c42  T06  81.093149 -66.727247 0.67
  LMC_c42  T07  81.108313  -66.17728 0.67
  LMC_c42  T08  81.122832 -65.627312 0.67
  LMC_c42  T09   82.50104 -67.277212 0.67
  LMC_c42  T10  82.485184 -66.727247 0.67
  LMC_c42  T11   82.47002  -66.17728 0.67
  LMC_c42  T12  82.455502 -65.627312 0.67
  LMC_c42  T13  83.924047 -67.264686 0.67
  LMC_c42  T14  83.876528    -66.715 0.67
  LMC_c42  T15  83.831082   -66.1653 0.67
  LMC_c42  T16  83.787568 -65.615587 0.67
  LMC_c43  T01  79.187276 -72.351881 0.67
  LMC_c43  T02  79.266616 -71.802423 0.67
  LMC_c43  T03  79.341459 -71.252934 0.67
